layer,head,score
0,0,0.007873568733754967
0,1,0.00017128755287758906
0,2,0.009679979345362102
0,3,1.086968626752411e-07
0,4,0.0001922936401625906
0,5,0.00011850704621848041
0,6,0.007869457355605401
0,7,0.00013000640511155197
0,8,0.006824991069448998
0,9,0.00852461167782241
0,10,0.006619556391212557
0,11,0.014782553443647161
1,0,0.00020256660930879995
1,1,0.0002684960782990318
1,2,0.0022907257056319894
1,3,0.0008028934802384857
1,4,0.002786235415200912
1,5,0.017622366416914274
1,6,0.013741968882065837
1,7,0.013182078768518202
1,8,0.012570927708352707
1,9,0.013531244440688466
1,10,0.006564810520456154
1,11,0.002044897558984563
2,0,0.00016849593261008985
2,1,0.0190464412741249
2,2,2.8529605948670773e-11
2,3,2.1865045376852666e-06
2,4,2.9900314071481912e-06
2,5,2.855330714372149e-07
2,6,0.0025260289431589997
2,7,0.005888144397747
2,8,2.7077435368316295e-06
2,9,3.9715858631331685e-07
2,10,0.0009491840634038861
2,11,0.0002509004088820728
3,0,0.003775176479658345
3,1,5.8994856637275144e-05
3,2,2.1212618319025438e-07
3,3,1.0589048664971959e-08
3,4,0.012400648548334305
3,5,0.0036410355746831595
3,6,1.8775839059593702e-05
3,7,1.8388961100176338e-08
3,8,5.966640591384536e-08
3,9,2.618396367320181e-05
3,10,0.00018291579953238026
3,11,9.060509227792097e-06
4,0,2.1703827219965613e-06
4,1,1.2266281658732625e-05
4,2,0.00449488964614848
4,3,6.89565126888164e-05
4,4,0.006299864241796337
4,5,2.438659395318691e-05
4,6,0.0001587874831107094
4,7,0.0010217377823618316
4,8,0.020963015156258754
4,9,0.00019986169014856033
4,10,0.005109422967878493
4,11,2.876716276015152e-22
5,0,0.5285923811321964
5,1,0.9090645200672692
5,2,0.00011444135828918318
5,3,0.00129995014047344
5,4,7.880929269068516e-05
5,5,0.849646702323261
5,6,3.965135633079023e-05
5,7,7.020683986147977e-05
5,8,0.045108526008148984
5,9,0.017650604328824853
5,10,0.013142327355144888
5,11,0.002683731141661731
6,0,0.0002179747373201262
6,1,0.0020049119988545163
6,2,0.009011831524192679
6,3,0.0024516877557307823
6,4,0.02164696600307159
6,5,0.0015470361815497031
6,6,0.023902875456806957
6,7,0.0026573839865278036
6,8,1.7592389600993706e-05
6,9,0.8220164290990453
6,10,0.05151846893701931
6,11,0.0005480930092521796
7,0,7.553269449400032e-05
7,1,0.1026946787237741
7,2,0.8240136323230607
7,3,0.004187414941897055
7,4,0.00027142711833012443
7,5,0.0050696611089028456
7,6,0.032787167714262495
7,7,0.07345178246270029
7,8,0.00031549156767364273
7,9,0.0008068375758071221
7,10,0.829605039456213
7,11,0.07616575801155853
8,0,0.006490962598110521
8,1,0.4960972900901522
8,2,0.0094774532798863
8,3,0.015224276445520928
8,4,0.00015098163703325962
8,5,0.0013281230903699833
8,6,0.10300050866885149
8,7,0.00017370475885697062
8,8,0.021591200564550807
8,9,0.011083040982175961
8,10,0.028454090364049285
8,11,0.00869926716300792
9,0,0.13752151432931803
9,1,0.18781175614246737
9,2,0.053844472029892614
9,3,0.0003397277035855022
9,4,0.024003887691592077
9,5,0.008496014036627829
9,6,0.27343116371835374
9,7,0.013449897495459537
9,8,0.019055971792039023
9,9,0.3130370788323712
9,10,0.00034558464191219654
9,11,0.06667855300682797
10,0,0.2585984041821687
10,1,0.3540838118571294
10,2,0.023048759654891317
10,3,0.08294360134726847
10,4,0.03246872144637211
10,5,0.0002650595306546648
10,6,0.20744302582794003
10,7,0.3802772812024549
10,8,0.06153657541691079
10,9,0.0001322341273191448
10,10,0.14454189701984654
10,11,0.16239328044276607
11,0,0.018444542668531745
11,1,0.034000380415818654
11,2,0.02175696783138401
11,3,0.005784031238400363
11,4,0.02451844106912993
11,5,0.08439751753312706
11,6,0.04822270686225015
11,7,0.044249099277777176
11,8,0.009466039338469866
11,9,0.22895696048377728
11,10,0.23144208222338977
11,11,0.016687746809563985
